Appetit
geschafft
hungrig
Hunger
kalt
müde
übel
Wärme
strahlend
vermissen
bääh
igitt
iiiih
wuäh
ehrgeizig
frech
freundlich
mutig
schüchtern
schwärmerisch
streng
cool
erschüttert
geil
hammer
komisch
überwältigt
Absonderung
allein
alleingelassen
ausgegrenzt
ausgeschlossen
beeindruckt
befriedigt
behütet
beleidigt
benachteiligt
beschützt
besitzergreifend
betrogen
eingeschnappt
eingeschüchtert
einsichtig
entschlossen
erfolgreich
erfüllt
erwartungsvoll
gebannt
gebrochen
gespannt
hilflos
Isolation
mächtig
missverstanden
motivationslos
nachdenklich
normal
sicher
Sicherheit
siegreich
Spaß
süchtig
überhört
Ungeduld
unschuldig
unvollkommen
verlassen
Verlust
vernachlässigt
verunsichert
Unsicherheit
vollkommen
vorwurfsvoll
wertgeschätzt
zustimmend
