ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung
984;4;will nicht spielen;traurig;;;;;
984;5;im Arm seiner Mutter;geschätzt;;;;;
984;6;Schimmel ;nicht so gut;;nein;;;
984;7;Geburtstag;gut, weil findet es schön fröhlich;;;;;
984;8;denkt, andere habens gesehen;peinlich;;;;;
984;9;Igel;nicht so gut;;nicht so richtig;;;
984;10;ein Legoauto auf dem Karton ;nicht so gut, weil er immer wieder scheitert, das nervt;;;;;
5679;1;Monsterfilm;Angst;;;;;
5679;2;LKW hat ihn überfahren;traurig;;;;;
5679;3;Schokolade;Freude;;;;;
5679;4;?;traurig;;;;;
5679;5;auf Schoß;entspannend;;;;;
5679;6;Schimmel;traurig;;;;;
5679;7;?;sie freut sich;;;;;
5679;8;weil ihre Hose offen ist;traurig;;;;;
5679;9;Igel;traurig;;;;;
5679;10;Spielzeug;traurig;;;;;
473;1;Monsterfilm;gruselig;;;;;
473;2;überfahren;traurig;;;;;
473;3;Schokolade ;glücklich;;;;;
473;4;bekommt bestimmt Junge;traurig oder besorgt;;;;besorgt;
473;5;im Mamas Arm;glücklich;;;;;
473;6;Schimmel;traurig;;;;;
473;7;Geburtstag;glücklich;;;;;
473;8;Hose auf;unglücklich;;;;;
473;9;Igel;böse;;;;;
473;10;Modell;traurig;;;;;
7549;1;gruseligen Film;zittert vor Angst;;;hat Angst;;
7549;2;sie holt ihn oder wirft es weg;traurig;;;;;
7549;3;weil ihre Mama die Schokolade ins obere Fach legt;sie möchte es auch haben;;;;;
7549;4;sie ist alt;traurig;;;;;
7549;5;auf den Arm von ihrer Mama;fröhlich;;;;;
7549;6;Schimmel;mag es nicht mehr;;;weiß ich nicht;;
7549;7;zum Geburtstag;fröhlich;;;;;
7549;8;weil andere Kinder sehen, dass ihre Hose offen steht;hoffentlich sieht es kein anderer;;;schnell hochziehen;;
7549;9;den Igel;traurig;;;;;
7549;10;ein Spielzeugauto;findet das Spielzeug doof;;;weiß nicht;;
6081;1;mit ein Monster;Angst;;;;;
6081;2;hat ihn runterfallen lassen  -> Laster drüber -> ganz kaputt;traurig ;;;;;
6081;3;die Tafel Schokolade;fröhlich;;;;;
6081;4;will nicht mehr spielen, [da? den?];traurig;;;;;
6081;5;kuschelt mit + weiß, dass nix passieren kann;fröhlich;;;;;
6081;6;gebrennt;igitt, verekelt;;;;;
6081;7;weil sie Geburtstag hat;fröhlich;;;;;
6081;8;weil seine Hose auf ist;traurig;;;;;
6081;9;Igel;wütend;;;;;
6081;10;gleiche Sache wie auf dem Modell;wütend;;;;;
3584;1;mit Monster;Angst;;;;;
3584;2;überfahren;traurig;;;;;
3584;3;Schokolade;hypnotisiert von der Schokolade;;;muss wach machen;;
3584;4;schläft nur;erschrocken;;;;;
3584;5;auf seiner Mama;gut;;weil bei Mama;;;
3584;6;Schimmel;traurig;;;;;
3584;7;Geburtstag;fröhlich;;;;;
3584;8;alle würden ihn auslachen;peinlich;;;;;
3584;9;Igel;wütend;;;;;
3584;10;Legospielzeug gelingt nicht;enttäuscht;;;;;
6227;1;Monsterfilm;bisschen Angst;;;;;
6227;2;wurde überfahren + kaputt;traurig;;;;;
6227;3;Tafel Schokolade;gierig;;;;;
6227;4;will nicht mehr spielen;traurig;;;;;
6227;5;bei ihrer Mutter;schön;;freut sich;;;
6227;6;Schimmel;"""bäh, ich will das nicht haben""";;;voll eklig;;
6227;7;hat Geburtstag;schön, freut sich;;;;;
6227;8;weil Hofe offen;ist unangenehm;;;"""hoffentlich habens die anderen nicht gesehen""";;
6227;9;Igel;"""oh Mist, ich wollte doch..""";;;Freundin sagen, mach mal leise;;
6227;10;das Auto auf der Schachtel ;ärgerlich;;;;;
9762;1;Monster;ängstlich;;;;;
9762;2;überfahren;traurig;;;;;
9762;3;wo Mama es hinräumt;glücklich;;;;;
9762;4;vielleicht krank;traurig;;;;;
9762;5;auf ihrem Bauch von der Mutter;glücklich;;;;;
9762;6;Schimmel;traurig;;;;;
9762;7;Geburtstag;freut sich;;;;;
9762;8;Hose offen;traurig;;;;;
9762;9;Igel;Angst;;;;;
9762;10;ein Auto;traurig;;;;;
2656;1;weiß nicht;glücklich;;;;;
2656;2;kaputt;traurig;;;;;
2656;3;weiß nicht;weiß nicht;;;;;
2656;4;abgehauen;traurig;;;;;
2656;5;im Bett;lachen;;;;;
2656;6;Erdbeeren;glücklich;;;;;
2656;7;zum Geburtstag;glücklich;;;;;
2656;8;weil ihr Freund da ist;glücklich;;;;;
2656;9;Pferd;glücklich;;;;;
2656;10;Haus;traurig;;;;;
